agriculture,industry,services,gdp_log,year,country,unemployment_rate,target
0.893745505177365,27.8892073502979,71.2170471445248,25.288411001650243,2000,Singapore,3.7,3.7
48.7451620079276,11.3197526217771,39.9350829504372,25.021337873357048,2001,Nigeria,3.91,3.91
37.9646159327065,18.2131890217409,43.8222276401723,23.50340820283187,2010,Senegal,2.803,2.803
58.6748421701981,9.88629254185826,31.4388652879437,20.674776549798104,2008,Guinea-Bissau,3.164,3.164
78.2340163009587,4.11709610965658,17.6488875893847,22.210051401754086,2004,Chad,0.685,0.685
17.2093819278716,25.5893731264321,57.2012449456963,27.42112211258483,2002,Mexico,3.003,3.003
7.97820924376768,22.7239638650548,69.2978268911775,22.03088300603938,2014,Maldives,7.477,7.477
23.3200434530584,22.9345082171391,53.7454483298025,24.068408261653722,1999,Cuba,6.26,6.26
35.2540336676465,16.9613310597196,47.784635272634,24.151873854386277,2003,Kazakhstan,8.78,8.78
2.11200086047843,22.1061931059389,75.7818119695542,27.908095734935312,2006,Canada,6.484,6.484
1.29348563083503,15.1932404944453,83.5132738747197,22.26485308268638,2022,Virgin Islands (U.S.),13.007,13.007
52.0792178240104,15.3968513883366,32.523930787653,23.079025396283583,2016,Armenia,17.617,17.617
16.5826153528332,20.9160175474839,62.5025822994009,20.107258197555463,1998,Maldives,1.47,1.47
59.8273530087206,11.1688898545932,29.0037571366861,23.898325624369313,2007,Cameroon,3.063,3.063
56.0221177193695,13.6692903313368,30.3085919492937,21.336006421231524,1999,Armenia,11.2,11.2
26.6635848970461,20.6112502527377,52.7250833219194,23.301821797263063,2018,Mongolia,5.377,5.377
11.8529887336672,15.4036253489554,72.7433859173774,26.085960181094222,2018,Greece,19.179,19.179
50.0149231457991,10.9741476963259,39.0109291578749,22.945577287211567,2007,Haiti,16.8,16.8
3.64324917672887,12.6706915477497,83.6860592755214,23.095414305419055,2012,"Bahamas, The",14.02,14.02
3.46928096595357,24.2500024637203,72.2807097266584,27.513239480272308,2019,Saudi Arabia,5.636,5.636
10.9127961431284,28.5496356343897,60.5374999060649,25.140377828164645,1997,Ireland,10.191,10.191
52.2796668182118,10.5681608326726,37.1521723491155,20.614566421137898,2004,Liberia,2.589,2.589
